,brand,name,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating
342,GIORGIO ARMANI,Si Fiori,323.05,100,EDP,Women,Floral,"Vanilla, White Musk","Neroli, Rose",5
343,CAROLINA HERRERA,212 Men Nyc,163.9,100,EDT,Men,Woody,"Labdanum, Sandalwood, Musk, Guaiac Wood, Vetiver And Incense","Ginger, Gardenia, Violet And Sage",4.3
344,Kenzo,Jeu D'Amour L'elixir,195.45,75,EDP,Women,Fruity,"Caramel, Patchouli, Rum, Sandalwood, Vanilla","Jasmine, Tuberose",4.6
345,HUGO BOSS,Hugo,115,125,EDT,Men,Aromatic,"Cedar Wood, Fir, Patchouli","Carnation, Geranium, Jasmine, Sage",4.2
346,Calvin Klein,Euphoria Intense,99.95,100,EDT,Men,Spicy,"Amber, Patchouli, Agarwood, Myrrh, Labdanun","Black Basil, Sage, Cedar, Vetiver",5
347,MONTBLANC,Legend Spirit,140,100,EDT,Men,Citrus,"White Musk, White Woods, Cashmere Wood, Oakmoss","Water Notes, Lavender, Cardamom",4.7
348,Parfums De Marly,Pegasus,245,125,EDT,Men,Citrus,"Ambergris, musk","Iris, orange blossom",4.5
349,PACO RABANNE,Invictus,279.1,150,EDT,Men,Citrus,Guaiac Wood And Patchouli Heart,Ambregris Accord And Grapefruit Zests,5
350,TRUSSARDI,Uomo,143.75,100,EDT,Men,Floral,"Patchouli,Oak Moss,Leather","Geranium,Violet,Clary Sage",4.1
351,LOEWE,Esencia Pour Homme,177,150,EDT,Men,Woody,"Tonka Bean, Leather, Sandalwood, Fir, Amber, Patchouli, Musk, Oakmoss, Vetiver, Cedar and Styrax","Clary Sage, Nutmeg, Basil, Jasmine, Neroli, Lily-of-the-valley, Rose, Pine Tree Needles, Geranium and Black Currant",5
352,Calvin Klein,Escape,94.95,100,EDP,Women,Oriental,"Vanilla, Musk, Cedar, Sandalwood, Oakmoss, Amber, Vetiver","Carnation, Rose, Peach, Lily of the Valley, Jasmine, Cloves",5
353,MONTBLANC,Explorer,187.9,100,EDP,Men,Woody,"Ambroxan, Akigalawood, Indonesian Patchouli Leaf, Cacao Pod","Haitian Vetiver, Leather",5
354,Fendi,Furiosa,101.85,50,EDP,Women,Floral,"Amber, Incense, Guaiac Wood","Jasmine, Violaciocca Flower And Gardenia",4.6
355,GUCCI,Guilty Pour Homme,200.2,90,EDT,Men,Floral,Patchouli and Virginia Cedar,African Orange Flower,4.5
356,MONTBLANC,Legend,108.5,100,EDT,Men,Spicy,"Sandalwood, Tonka Bean","Coumarin, Oak Moss, Geranium, Rose, Apple, Dried Fruit",4.7
357,Miu Miu,miu miu,249.95,100,EDP,Women,Floral,Akigalawood,"Green Notes, Jasmine, Rose",5
358,Givenchy,L'Interdit,228,50,EDP,Women,Floral,"Vetiver, Patchouli, Ambroxan and Vanilla","Orange Blossom, Jasmine and Tuberose",5
359,Estee Lauder,White Linen,197.5,60,EDP,Women,Oriental,"Vetiver, Sandalwood, Cedar, Amber, Benzoin, Tonka Bean, Honey, Oakmoss","Carnation, Iris, Jasmine, Hyacinth, Ylang-Ylang, Rose, Lily-Of-The-Valley, Violet, Lilac, Orchid, Orris",4.6
360,Estee Lauder,White Linen,214,60,EDP,Women,Arabian,"Vetiver, Sandalwood, Amber, Benzoin, Tonka Bean, Honey and Oakmoss","Carnation, Iris, Jasmine, Hyacinth, Ylang-Ylang, Rose, Lily-of-the-Valley, Violet, Lilac, Orchid and Orris",5
361,Calvin Klein,CK One,105,200,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar And Oakmoss","Nutmeg, Violet, Orris Root, Jasmine, Lily Of The Valley And Rose",3.3
362,PACO RABANNE,Ultraviolet,148.65,80,EDP,Women,Floral,Madagascar Vanilla Absolute And Ambergris,Chinese Osmanthus And Indian Sambac Jasmine,4.8
363,Givenchy,Play Intense,259.9,50,EDT,Men,Spicy,"Vetyver,French Labdanum,Patchouli,Tonka Bean","Amyris,Pink Pepper,Coffee",4.4
364,BURBERRY,Brit Sheer,123.95,100,EDT,Women,Fruity,White Musk And Blond Wood,"Pink Peony, Peach Blossom And Nashi, Floral Accent",4.8
365,ELIE SAAB,Girl Of Now,264.9,90,EDP,Women,Floral,"Patchouli, Cashmeran, Tonka Bean And Almond Milk","Range Blossom, Magnolia And Almond",4
366,JAGUAR,Jaguar,59.7,100,EDT,Men,Aromatic,"Leather, Sandalwood, Tonka Bean, Amber, Patchouli, Musk, Oakmoss, Vanilla, Cedar, Tobacco, Fern","Cyclamen, Nutmeg, Carnation, Gardenia, Cinnamon, Jasmine, Caraway, Sage, Rose, Geranium, Fir",4.5
367,DORALL COLLECTION,Eternally Hot,8,100,EDT,Women,Woody,"Vanilla, Musk","Gardenia, Jasmine",4.5
368,BOUCHERON,Place Vendome,187,100,EDP,Women,Floral,"Cedar, White Musk","Iris, Rose, Jasmine",4.5
369,Guerlain,Habit Rouge,218.45,100,EDP,Men,Woody,"Labdanum, Leather, Amber, Benzoin, Oakmoss and Vanilla","Carnation, Sandalwood, Patchouli, Cinnamon, Jasmine, Cedar and Rose",4.5
370,CHANEL,Gabrielle,459,100,EDP,Women,Floral,Sandalwood and Musk,"Tuberose, Ylang-ylang, Jasmine and Orange blossom",3.7
371,HUGO BOSS,Ma Vie,125,75,EDP,Women,Floral,"Cedar, Woody Notes","Pink Freesia, Jasmine, Rose",5
372,Roberto Cavalli,Paradisio Azzuro,168,75,EDP,Women,Floral,"Amberwood, Cashmere Wood, Cypress, Sandalwood, Vanilla","Apple, Jasmine, Peach, Rose, Tuberose, Water Notes",4.8
373,Dolce & Gabbana,The One,130.95,100,EDT,Men,Spicy,"Amber, Moss, Musk, Vanilla, Vetiver","Genisteae, Jasmine, Lily, Lily Of The Valley, Orange Tree Blossom, Ylang-Ylang",4.5
374,BENTLEY,Momentum Intense,144,100,EDP,Men,Woody,"Amber Wood, Sandalwood and White Musk","Geranium, Tonka Bean and Marine Ambergris",5
375,Guerlain,Mon Bloom Of Rose,272,100,EDT,Women,Floral,"Neroli, Rose",Sambac Jasmine,4
376,KORLOFF,In White,116,88,EDT,Men,Citrus,"Cashmeran, Virginia Cedar, Musk and Tonka Bean","Lavender, African Orange Flower and Clary Sage",5
377,TESORI D¢¥ORIENTE,Orchidea della Cina,38.95,100,EDT,Women,Floral,"Myrrh,Praline,Musk,Vanilla,Sandalwood","Orange Blossom,Tiare Flower,Jasmine,Orchid",4.3
378,S.T.Dupont,Passenger,106.15,100,EDP,Women,Fruity,"Iris, Vanilla, White Musk And Sandalwood","Cyclamen, Rose, Gardenia And White Peach",4.9
379,TRUSSARDI,Uomo,138.85,100,EDT,Men,Spicy,"Leather, Moss, Patchouli","Clary Sage, Violet",5
380,DORALL COLLECTION,DC Marine Noir,9.7,100,EDT,Men,Floral,"Incense, Amber, Cedar, Vetiver, Patchouli, Musk","Water, Sage, Rosemary",3.4
381,BURBERRY,Body,142,85,EDP,Women,Woody,"Cashmere Wood, Musk, Amber and Vanille","Iris, Rose and Sandalwood",5
382,GUCCI,Bamboo,189,75,EDP,Women,Floral,Sandalwood,Casablanca Lily and Ylang Ylang Extra-Comoros,4.8
383,Revlon,Charli Blue,44,100,EDT,Women,Woody,"Sandalwood, Oakmoss, Musk","Jasmine, Muguet, Rose, Ylang-ylang",5
384,HUGO BOSS,Hugo Man,99.5,75,EDT,Men,Fresh,"Patchouli, Fir and Cedar","Carnation, Sage, Geranium and Jasmine",4.3
385,BENTLEY,Absolute,154,100,EDP,Men,Woody,"Moss, Agarwood, Amber, Atlas Cedar","Olibanum, Papyrus, Sandalwood",5
386,BURBERRY,Burberry Body,164.35,85,EDP,Women,Fruity,"Woody Cashmeran, Creamy Vanilla, Amber And Musk.","Natural Rose Absolute, Iris And Warm Sandalwood.",4.8
387,Calvin Klein,Reveal,149.4,100,EDT,Men,Vanilla,"Haitian Vetiver, Vintage Vanilla And Golden Amber",Agave Nectar And Kiwano,5
388,AZZARO,Chrome,135,100,EDT,Men,Citrus,"Sandalwood, Tonka Bean, Musk, Oakmoss, Cedar, Brazilian Rosewood and Cardamom","Rosemary, Pineapple, Neroli, Bergamot and Lemon",4
389,Dunhill,Custom,89.85,100,EDT,Men,Floral,"Virginia Cedar, Incense",Pepper,4.3
390,DORALL COLLECTION,Super Cobra,8.8,100,EDT,Women,Floral,"Amber Milk, Mousse Australian, Sandalwood and Vanilla","Orange, Blossom Peach and Raspberry Leaf",5
391,Lolita Lempicka,lolita,222.6,100,EDP,Women,Vanilla,"Musk,Praline,Tonka Beans,Vanilla,Vetiver","Amaryllis,Cherry,Iris,Licorice,Orris Root",4.4
392,RALPH LAUREN,Polo Blue,327,125,EDP,Men,Woody,Vetiver,Blue Orris Accord,4.7
393,NARCISO RODRIGUEZ,Narciso Rodriguez For Her,108.75,100,EDT,Women,Woody,"Vetiver, Vanilla","Egyptian Musk, Amber",4.7
394,MINI COLLECTION,Eaudemoiselle No.1154,16,25,EDP,Unisex,Oriental,rose,cinnamon,4.9
395,CHOPARD,Happy Spirit,148.95,75,EDP,Women,Fruity,"Amber, Musk, Cashmere Wood","Honeysuckle, Osmanthus",5
396,Guerlain,Ideal,228.2,100,EDT,Men,Woody,"Leather, Cedar and Vetiver",Almond and Tonka Bean,4
397,CHLOE,Chloe,188.85,50,EDP,Women,Floral,"Amber, Virginia Cedar","Rose, Lily-Of-The-Valley, Caribbean Magnolia",5
398,TED LAPIDUS,Lapidus Pour Homme,66,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar and tobacco.","pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood and incense",5
399,CAROLINA HERRERA,Bad Boy,204,100,EDT,Men,Spicy,"Tonka Bean, Amberwood, Cacao","Cedar, Sage",5
400,VERSACE,Blue Jeans,109.25,75,EDT,Men,Arabian,"Vanilla, Tonka Bean, Iris, Sandalwood, Musk, Amber, Vetiver, Cedar, Patchouli","Lavender, Rose, Carnation, Heliotrope, Jasmine, Geranium, Sage, Fir, Lily-Of-The-Valley",4.4
401,BVLGARI,Extreme,203.8,100,EDT,Men,Citrus,"Balsa Wood, Haitian Vetiver And Laotian Benzoin","White Freesia, Guatemalan Cardamom And Vegetal Amber",5
402,LACOSTE,Pour Femme,123.05,90,EDP,Women,Floral,"Cedar, Vetiver, Sandalwood And Musk","Jasmine Petals, White Heliotrope And Hibiscus",4.5
403,S.T.Dupont,Dupont,83.9,100,EDT,Men,Spicy,"Heliotrope, Musk, Lignum Vitae And Amber","Essence Of Birch, Iris And Cedar Wood",4.4
404,DORALL COLLECTION,Simple,8.5,100,EDT,Women,Floral,"Amber, patchouli, vanilla, musk, sandalwood","Magnolia, gardenia, lily of the valley, freesia, jasmine",4.3
405,CHOPARD,Happy Spirit,155,75,EDP,Women,Fruity,"Amber, Musk, Cashmere Wood","Honeysuckle, Osmanthus",5
406,COACH,New York,183.95,90,EDP,Women,Fruity,Suede Musk Sandalwood Cashmeran,Turkish Rose Gardenia Cyclamen,4.7
407,BOUCHERON,Place Vendome,177.9,100,EDP,Women,Floral,Cedar and Sensual Benzoin,"Jasmine Petals, Peony, Creamy Honey",4.5
408,CARTIER,Declaration D'Un Soir,213,100,EDT,Men,Spicy,Sandalwood,Rose and Nutmeg,4.8
409,CHANEL,Allure Homme Sport EDT For,423,100,EDT,Men,Citrus,"Tonka Bean, Atlas Cedar, Vetiver, White Musk And Pepper","Cedar,Neroli,Pepper",5
410,DAVIDOFF,Leather Blend,224.85,100,EDP,Unisex,Spicy,"Leather,Papyrus",Rose and Amber,5
411,Al Fakhr,Shiyoukh Al Oud,8.9,100,EDP,Unisex,"Woody, Musky","Sandalwood, Cedarwood","Black Pepper, Cardamom",4.5
412,Dolce & Gabbana,Intenso,200.35,125,EDP,Men,Spicy,"Labdanum, Sandalwood, Cypress, Musk and Amber","Tobacco, Hay, Moepel Accord, Clary Sage And Bran",4.5
413,Dolce & Gabbana,L'imperatrice 3,148.3,100,EDT,Women,Floral,"Citrus Wood, Musks And Sandalwood","Watermelon, Cyclamen And Jasmine",4.3
414,Lattafa,Oud Mood Gold Elixir,50.6,100,EDP,Unisex,Arabian,"Vanilla, Ambra","Lemd De Santal, Agar, Oud wood, Leather notes",3.8
415,DORALL COLLECTION,Courageous,9.95,100,EDT,Women,Floral,"Orris Root, Musk, Vanilla","Roses, Iris",4.7
416,Nikos,Sculpture Homme,58.5,100,EDT,Men,Floral,"Tonka bean, amber, benzoin, cedar","Jasmine, lily-of-the-valley, rose, geranium",4.7
417,ROGER & GALLET,Open,51.5,100,EDT,Men,Spicy,"Tobacco, Patchouli And Vetiver",Sage And Thyme,4.8
418,CREED,Aventus,593.3,100,EDP,Men,Fruity,"Oak moss, musk, ambergris, and vanilla","Rose, dry birch, Moroccan jasmine and patchouli",5
419,LACOSTE,L.12.12 Rouge,113,100,EDT,Men,Spicy,Acacia Wood,Rooibos Tea Extract (red Bush Tea),4
420,Ajmal,Sacrifice,75.9,50,EDP,Women,Floral,"Ambergris, Musk","Orange Blossom, Vanilla",4.2
421,Franck Olivier,Oud Vanille,90,100,EDP,Men,Arabian,"Woody Notes, Spices, Musk, Vanilla","Rose, Violet, Jasmine, Patchouli, Incense",5
422,BURBERRY,The Beat,150,75,EDP,Women,Floral,"White Musk, Vetiver And Cedar Wood","Ceylon Tea, Iris And Bluebell",4.3
423,Ajmal,Sacrifice,70,50,EDP,Women,Floral,"Woody, Oriental, Musky","Floral, Musky",4.6
424,Givenchy,Eau De Moiselle,183,100,EDT,Women,Floral,"Ambrette Seeds, Tonka Beans, Musk","Rose, Ylang Ylang",5
425,AZZARO,Chrome Legend,123.3,125,EDT,Men,Woody,"Cedar, Vetiver","Moss, Musk",5
426,DORALL COLLECTION,DC,9.3,100,EDT,Men,Floral,"Vetiver, Patchouli, Oakmoss, Musk, Sandalwood","Galbanum, Rosemary, Jasmine, Coumarin",4
427,Juicy Couture,play around,126.25,100,EDP,Women,Floral,"Caramel, Vanilla, and Patchouli","Princess lily, Tuberose and Wild Rose",4
428,COACH,New York Platinum,7.9,2,EDP,Men,Oriental,Patchouli and Vanilla Leather,Aromatic Accords,4.5
429,CAROLINA HERRERA,212 Vip,160,100,EDT,Men,Vanilla,"King Wood, Salty Amber And Tonka Beans","Chilled Vodka, Hot Ginger And Slice Of Apple",5
430,Mercedes-Benz,Club Black,185,100,EDT,Women,Vanilla,"Ambroxan, Benzoin, Woodsy Notes And Vanilla",Jasmine And Incense,5
431,TOMMY HILFIGER,Tommy Girl,122.95,100,EDT,Women,Citrus,"Desert Jasmin, Cherokee Rose, Magnolia Petals, Dakota Lilies, Cedar, Sandalwood And Wild Heather","Grapefruit, Citrus Orchards, Crisp Green Notes, Honeysuckle And Butterfly Violets",4.4
432,Guerlain,Vetiver,174,100,EDT,Men,Aromatic,"Vetiver, Oakmoss, Leather, Myrrh, Civet, Tonka Bean, Amber","Vetiver, Pepper, Carnation, Sage, Orris Root, Sandalwood",5
433,Dior,Sauvage,208.25,100,EDT,Men,Spicy,"Cedar, Ambroxan","Geranium,Lavender,Elemi, Pink Pepper, Patchouli,Vetiver",5
434,Shirley May,Darknet Pour Homme,11.5,100,EDT,Men,Woody,Musk And Moss,"Anise, Cardamom And Cinnamon",3
435,PACO RABANNE,Lady Million,158,80,EDP,Women,Floral,"Patchouli, White Honey and Amber","Jasmine, African Orange Flower and Gardenia",4.7
436,CARTIER,La Panthere,235.85,75,EDP,Women,Fruity,"Oakmoss, Musk, Patchouli, Leather","Gardenia, Rose, Ylang-Ylang, Orange Blossom, Pear",4.7
437,DAVIDOFF,The Game,77,100,EDT,Men,Woody,Ebony Wood,"Iris, Woody Notes",5
438,PACO RABANNE,Ultraviolet,165,100,EDT,Men,Woody,Indonesian Patchouli And Oakmoss,Tanzanian Black Pepper And Ambergris,4.4
439,Shirley May,Black Car,9.95,100,EDT,Men,Citrus,Amber and palisander rosewood,Cedar and spicy notes,4.5
440,Ard Al Zaafaran,Oud Sharqia,18.4,80,EDP,Unisex,Arabian,Sweet Wood,Citric,4.4
441,Guerlain,Santal Royal,406,125,EDP,Unisex,Arabian,"Sandalwood, Leather note, Amber notes, Oud, Muscs note","Peach, Rose, Cinnamon",5
442,GUESS,Marciano,80.7,100,EDT,Men,Spicy,Woody And Spicy,"Spicy, Lavenday And Sage",4.7
443,Estee Lauder,Modern Muse Nuit,284.8,100,EDP,Women,Floral,"Vanilla, Amber, Patchouli and Sandalwood","Heliotrope, Chamomile and Chinese Jasmine",5
444,BURBERRY,My Burberry,226.65,90,EDP,Women,Floral,Oined with Damascus and Centifolia Rose,Freesia Flowers and Golden Quince,5
445,Rasasi,Hatem,69.25,75,EDP,Unisex,Spicy,"Woody, Aandal And Cedar Wood And Musk",Jasmine And Rose,5
446,LACOSTE,Joy Of Pink,113.95,90,EDT,Women,Floral,"Musk, vanilla","Jasmine, carrot, and spicy coriander",4.4
447,LALIQUE,Le'Parfum,143,100,EDP,Women,Oriental,"Sandalwood, Tonka Bean, Patchouli and Vanilla",Jasmine and Heliotrope,4.4
448,GUCCI,Memoire  D'une Odeur EDP For Uni,349.95,100,EDP,Unisex,Fresh,"Sandalwood, Cedar, Vanilla","Coral Jasmine, Jasmine Petals, Musks",5
449,VERSACE,Versace,137.45,100,EDP,Women,Fruity,"Musk, Grey Amber And Inoki Wood","Lotus, Plum, Raspberry And Lebanese Blue Cedar",4.4
450,DORALL COLLECTION,Oud Wood,9.9,100,PDT,Unisex,Citrus,"Cedar, tobacco, patchouli, sandalwood, musk","Geranium, marigold, rose, bay leaves",4.3
451,HUGO BOSS,The Scent,135,100,EDT,Men,Spicy,"Leather, Woody Notes","Lavender, Maninka",3.6
452,CHOPARD,Casmir,94.9,100,EDP,Women,Vanilla,"Amber, Woods, Musk, Patchouli, Sandalwood, Vanilla","Geranium, Jasmine, Lily-Of-The-valley",4.5
453,CAROLINA HERRERA,212 Sexy,151,100,EDP,Women,Floral,"Cotton Candy,Musk,Sandalwood,Vanilla","Gardenia,Geranium",4.7
454,Guerlain,L'instant,262.9,100,EDP,Women,Vanilla,"Vanilla, Benzoin, Musk and Amber","Magnolia, Sambac Jasmine, Ylang-Ylang and Iris",4.2
455,BVLGARI,Rose Essentielle,274.9,100,EDP,Women,Floral,Sandalwood And Patchouli,Blackberry Are Softened With Delicate Violet And Jasmine Trace,5
456,Parfums Gres,Cabotine De Gres,78,100,EDP,Women,Floral,"Patchouli, Sandalwood And Musk","Ginger, Lily, Tubereuse And Wild Hyacinth",4.5
457,Lancome,Magie Noire L'eau,401,75,EDT,Women,Woody,"Amber, Sandalwood and Patchouli",Jasmine and Ylang-Ylang,4.6
458,LOEWE,Esencia Pour Homme,177,150,EDT,Men,Woody,"Tonka Bean, Leather, Sandalwood, Fir, Amber, Patchouli, Musk, Oakmoss, Vetiver, Cedar and Styrax","Clary Sage, Nutmeg, Basil, Jasmine, Neroli, Lily-of-the-valley, Rose, Pine Tree Needles, Geranium and Black Currant",5
459,Calvin Klein,CK Be,110,200,EDT,Unisex,Spicy,"Sandalwood, Amber, Cedar and Oakmoss","Green Grass, Magnolia, Orchid, Freesia, Peach and Jasmine",5
460,HUGO BOSS,Boss,105,100,EDT,Men,Woody,"Sandalwood, Vetiver, Cedarwood And Vanilla","Geranium, Cinnamon And Cloves",4.7
461,Marc Jacobs,Daisy Eau So Fresh,179.4,125,EDT,Women,Fruity,"Musk, Plum, Cedarwood","Violet, Wild Rose, Apple Blossom, Lychee, Jasmine Petals",5
462,MONTBLANC,Legend,108.5,100,EDT,Men,Spicy,"Sandalwood, Tonka Bean","Coumarin, Oak Moss, Geranium, Rose, Apple, Dried Fruit",4.7
463,COACH,New York Coach Dreams,201.75,90,EDP,Women,Floral,Joshua Tree And Ambroxan,Gardenias And Cactus Flowers,4
464,Dolce & Gabbana,Intenso,194.5,125,EDP,Men,Spicy,"Labdanum, Sandalwood, Cypress, Musk, Amber","Hay, Moepel Accord, Bran, Clary Sage",4.5
465,GUESS,Marciano,76.8,100,EDP,Women,Citrus,"Musk, Vanilla, Woody Notes","Peony, Jasmine, Honeysuckle",4.4
466,Remy Marquis,Shalis,50.35,100,EDP,Men,Fruity,"Nutmeg, Oakmoss And Sandalwood",Lavender And Basil,5
467,LANVIN PARIS,Rumeur 2 Rose,106.85,100,EDP,Women,Floral,"Patchouli, Amber And Musk","Lily Of The Valley, Jasmine, False Jasmine, Rose, Magnolia And Honeysuckle",4.3
468,Roberto Cavalli,cavali,115,75,EDP,Men,Arabian,"Roasted Tonka Grain, Laos Benzoin","Orange Blossom Extract, Mirabelle Plum",4.3
469,Roberto Cavalli,Florence Amber,209.9,75,EDP,Women,Floral,"Honey, Patchouli","Quince, Gardenia, Cashmirwood",4.5
470,CARON,De Caron,178,200,EDT,Men,Fresh,Musk,Vanille,4.3
471,Paris Hilton,Heiress,151,100,EDP,Women,Fruity,"Violet Leaf, Tahiti Tonka, Light Wood","Jasmine, Tiare Lily, Delightfully Sweet Ylang-Ylang, Honeysuckle, Grenadine",4.4
472,CAROLINA HERRERA,212 VIP,190,80,EDP,Women,Arabian,"Vanille, Tonka Bean","Musk, Gardenia",4.4
473,S.T.Dupont,Essence Pure,84.6,100,EDT,Women,Citrus,"Amber, Patchouli, Vanilla And Cedar",Jasmine And Rose,4.4
474,JAGUAR,Jaguar,59.7,100,EDT,Men,Aromatic,"Leather, Sandalwood, Tonka Bean, Amber, Patchouli, Musk, Oakmoss, Vanilla, Cedar, Tobacco, Fern","Cyclamen, Nutmeg, Carnation, Gardenia, Cinnamon, Jasmine, Caraway, Sage, Rose, Geranium, Fir",4.5
475,LACOSTE,L.12.12 Blanc,89.95,100,EDT,Men,Woody,"Virginia Cedar, Leather, Suede, Vetiver",Ylang,5
476,BURBERRY,My Burberry,179,50,EDP,Women,Floral,"Amber, Patchouli","Peach, Rose",5
477,DORALL COLLECTION,Love You Like Crazy,7.25,100,EDT,Women,Woody,"Patchouli, musk, vanilla, amber","Peony, jasmine, lily",4.5
478,TRUSSARDI,Extreme,127.95,100,EDT,Men,Woody,Vetiver and Patchouli,"Fruity-Gourmand, Dark Plum and Powdery Iris",5
479,VERSACE,Versace Pour Homme,163.55,100,EDT,Men,Fresh,"Amber, Tonka Beans And Musk","Geranium, Clary Sage And Blue Hyacinth",4.7
481,Roberto Cavalli,Paradiso,165,75,EDP,Women,Woody,"Pine Tree, Cypress and Laurels",Jasmine,4.6
482,LALIQUE,Encre Noire,140,100,EDT,Men,Woody,Sandalwood,Lemongrass,4.4
483,AZZARO,Visit,106,100,EDT,Men,Woody,"Gray Amber, And Musk","Lebanese Cedar, Guaiac Tree, And Incense",4.3
484,Calvin Klein,Escape,96.25,100,EDT,Men,Woody,"Sandalwood, Amber, Patchouli, Oakmoss and Vetiver","Rosemary, Cypress, Fir, Sage, Birch and Sea notes",4.5
485,TRUSSARDI,My Name,228,50,EDP,Women,Floral,"Dry Amber, Vanilla",Lilac And Musk,4.6
486,S.T.Dupont,Passenger,106.15,100,EDP,Women,Fruity,"Iris, Vanilla, White Musk And Sandalwood","Cyclamen, Rose, Gardenia And White Peach",4.9
487,Calvin Klein,Beauty,106.45,100,EDP,Women,Floral,Cedarwood,Jasmine,4.8
488,GUESS,Guess,103.6,100,EDT,Women,Woody,"Australian Sandalwood, Musk and Vanilla","Peony, Violet and Jasmine",5
489,HUGO BOSS,Bottled Intense,157.85,100,EDP,Men,Spicy,"Sandalwood, Cedar, Vetiver, Vanilla","Geranium, Cloves, Cinnamon",4.5
490,Rasasi,Royale,43.25,75,EDT,Men,Spicy,Aromatic Scents,Delicate Musk Fragrance,4
491,Estee Lauder,Private Collection,197,50,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber And Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-ylang And Coriander",5
492,armani,Because It's You by Emporio,154.7,100,EDP,Women,Floral,"Vanilla, Musk",Rose Absolute,5
493,BURBERRY,The Beat,150,75,EDP,Women,Floral,"White Musk, Vetiver And Cedar Wood","Ceylon Tea, Iris And Bluebell",4.3
494,Lattafa,Rouat Al Oud,45,100,EDP,Women,Spicy,"Cedarwood, Patchouli, Vetiver, Musk","Cardamom, Spicy Notes",5
495,Yves Saint Laurent,La Nuit De L`Homme,314,100,EDT,Men,Woody,"Vetiver, Caraway","Bergamot, Virginia Cedar, Lavender",5
496,Ajmal,Blu,139.95,90,EDP,Men,Fresh,"Sandalwood, Musk and Amber","Lotus, Jasmine",4
497,Mont Blanc,Legend,141.95,100,EDT,Men,Spicy,"Sandalwood, Tonka, And Evernyl","Dried Fruit, Oakmoss Fused With Geranium, Rose And Apple",5
498,HERMES,Terre D' Hermes,173,100,EDT,Men,Citrus,"woody notes, patchouli and cedar",geranium,3.9
499,HUGO BOSS,Bottled Tonic,124.9,100,EDT,Men,Citrus,"Woodsy Notes, Vetiver","Ginger, Cinnamon, Cloves, Geranium",4.1
500,Roberto Cavalli,Dupont,120,75,EDP,Women,Arabian,"Benzoin, Tonka Bean, Vanille",African Orange Flower,4.6
501,BURBERRY,Burberry Body,8.5,2,EDT,Women,Woody,"Absolute Vanilla Orchid Tahitensis, Praline, Patchouli, Papyrus","Rose Damascena Essence, Incense",4
502,BENTLEY,Intense,128,100,EDP,Men,Spicy,"Leather, Benzoin, Incense, Cedar and Patchouli","Clary Sage, African Geranium, Cinnamon, Rum and Wood",4.3
503,BURBERRY,My Burberry,197.95,90,EDP,Women,Floral and Oriental,Damascus And Centifolia Rose,"Geranium, Freesia Flowers And Golden Quince",4.7
504,Estee Lauder,Private Collection,219.4,50,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber, Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-Ylang, Coriander",5
505,LALIQUE,Encre Noire,136.95,100,EDT,Men,Woody,"Cashmere Wood, Musk",Haitian Vetiver,4.5
506,Yves Saint Laurent,Rive Gauche Homme,560,80,EDT,Men,Aromatic,Gaiac Wood,Patchouli And Vetiver,4.7
507,LANVIN PARIS,Modern Princess,174,90,EDP,Women,Floral,"White Musk, White Woods, Vanilla orchid","Jasmine, Freesia",5
508,GIORGIO ARMANI,Eau Pour Homme Reno 2013,186,50,EDT,Men,Citrus,"Patchouli, Oakmoss and Sandalwood","Cloves, Lily and Nutmeg",4.7
509,Nikos,Sculpture Homme,52.95,100,EDT,Men,Floral,"Amber, Benzoin, Cedar, Tonka Beans","Geranium, Jasmine, Lily Of The Valley, Rose",4.5
510,DAVIDOFF,The Brilliant Game,93.75,100,EDT,Men,Arabian,Sensual Addiction Of The Tonka Bean Note,Charismatic Virility Of A Cedarwood,4.2
511,BURBERRY,London,172.5,100,EDP,Women,Floral,"Musk, Patchouli, Sandalwood","Jasmine, Tiare Flower, Peony, Clementine",4.7
512,NARCISO RODRIGUEZ,Narciso Rodriguez For Her,108.75,100,EDT,Women,Woody,"Vetiver, Vanilla","Egyptian Musk, Amber",4.7
513,Parfums Gres,Cabotine,75,100,EDT,Women,Floral,"Cedarwood, Vanilla, Tonka Bean, Cybet, Musk And Amber","Rose, Tuberose, Ylang-Ylang, Ginger Lily, Hyacinth, Heliotrope, Freesia, Violet And Iris",4.8
514,Elizabeth Arden,Green Tea,72.95,100,EDP,Women,Citrus,"Caraway, Amber, Musk, By Green Tea , Jasmine, Cloves, Oakmoss And Celery Seeds","Carnation, Musk,jasmine, Oakmoss, Amber And white Fennel",5
515,Van Cleef & Arpels,Ambre Imperial,479,75,EDP,Unisex,Woody,Woodsy Notes,"Tonka Bean, Vanilla, Amber, Benzoin",5
